public void unwrap(com.tvd12.ezyfox.binding.EzyUnmarshaller arg0, java.lang.Object arg1, java.lang.Object arg2) {
	try {
		return this.unwrap$impl( arg0, arg1, arg2);
	} catch(java.lang.Exception e) {
		throw new java.lang.IllegalStateException("can't read value "+ arg1, e);
	}
}
26 Jan 2019 | 15:08:33,669 | DEBUG | main | binding.impl.EzyObjectUnwrapperBuilder |     | reader: method content 
protected void unwrap$impl(com.tvd12.ezyfox.binding.EzyUnmarshaller arg0, java.lang.Object arg1, java.lang.Object arg2) {
	com.tvd12.ezyfox.entity.EzyObject value = ((com.tvd12.ezyfox.entity.EzyObject)(arg1));
	com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1 object = ((com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1)(arg2));
	if(value.isNotNullValue("name"))
		object.setName(((java.lang.String)(arg0.unmarshal((java.lang.Object)value.getValue("name", java.lang.String.class), java.lang.String.class))));
	if(value.isNotNullValue("value"))
		object.setValue(((java.lang.String)(arg0.unmarshal((java.lang.Object)value.getValue("value", java.lang.String.class), java.lang.String.class))));
	return object;
}
